Id,Name,SNR,Energy,Position,Type
82,Letaba Hospital,71.1184514855567,14780.9834293842,"[30.267554, -23.8735483, 7.0]",0
83,Van Velden Hospital.,53.43984691193522,11988.084689037083,"[30.16432, -23.83507, 7.0]",0
84,Kgapane Hospital,65.76129379327246,14665.854747131772,"[30.21710169999999, -23.6493398, 7.0]",0
85,Evuxakeni Hospital,57.627515421647495,14606.662267840302,"[30.7288359, -23.3187641, 7.0]",0
86,Elim Hospital In South Africa,89.62265909567174,14168.237311389035,"[30.692842, -23.3116249, 7.0]",0
87,Nkhensani Hospital,61.37866334902161,15142.561973398557,"[30.7108651, -23.3181637, 7.0]",0
88,Tzaneen Medi-Clinic,55.51329166782444,12442.092194221135,"[30.1527959, -23.8226407, 7.0]",0
89,Maphutha L Malatjie Hospital - Dietetics Dept,39.380432039822175,13862.017544214108,"[31.036962, -23.9249388, 7.0]",0
90,Sekororo Hospital.,84.4918675180334,13804.071749802282,"[30.4477608, -24.2531664, 7.0]",0
91,Maphutha Malatji Hospital Pharmacy,67.59055659740208,15101.747221512713,"[31.0386515, -23.9260467, 7.0]",0
92,Mhlava Wellem Clinic,46.26174316672344,14312.789033774767,"[30.8600204, -23.2111304, 7.0]",0
93,DR C N Phatudi Hospital,83.70158627354434,13384.766353834002,"[30.280849, -24.0265804, 7.0]",0
94,Shiluvana Hospital,72.8207869141689,12280.400945030215,"[30.2744425, -24.0426894, 7.0]",0
95,Mopani Medical Centre,81.98902744812723,13484.71865076742,"[30.1615068, -23.8298451, 7.0]",0
96,Consolidated Murchison Mine Hospital,93.30703982600187,14369.352711123785,"[30.61155, -23.95067, 7.0]",0
97,Sekhiming Health Centre,80.2615995044624,13201.3718784807,"[30.56096629999999, -23.4303883, 7.0]",0
98,Jj BRITZ ORT/PROT,76.75442894145449,11776.183407158715,"[30.15648770000001, -23.82054089999999, 7.0]",0
99,Tintswalo Hospital,78.87894793665383,12979.315227606348,"[31.0603835, -24.5919362, 7.0]",0
100,Matibidi Hospital,122.31375640964933,14003.393305901047,"[30.7696022, -24.588847, 7.0]",0
101,Mankweng hospital,99.13792407134784,12658.653868298907,"[29.7258744, -23.8809483, 7.0]",0
102,Mankweng Hospital,121.10922538210122,14029.837932583854,"[29.7259103, -23.8806797, 7.0]",0
103,Malamulele Hospital,106.78293079699117,12791.478998808061,"[30.697213, -22.9963668, 7.0]",0
104,Elim District Hospital,77.72444674823151,13579.008236909867,"[30.056596, -23.1533756, 10.0]",-1
105,Bungeni Health Centre,55.21646447199777,13443.470461507866,"[30.1979117, -23.2023873, 7.0]",0
106,Mecklenburg Hospital,58.16868369781407,14125.919388582694,"[30.0800928, -24.3986038, 7.0]",0
107,Netcare Hospital Polokwane,76.97905108847988,14819.176794296574,"[29.49343089999999, -23.9020206, 7.0]",0
108,Tshilidzini Hospital,60.742482724035746,13631.339256679199,"[30.4146151, -22.995015, 10.0]",-1
109,Mediclinic,95.71854562247789,12119.048811714913,"[30.4804048, -22.9954147, 7.0]",0
110,Dilokong Hospital,75.95064232133035,12571.701414121984,"[30.1717668, -24.6162262, 7.0]",0
111,Mapulaneng Hospital,83.37533429915526,13914.429315610952,"[31.055559, -24.844134, 7.0]",0
112,Siloam Hospital,78.52350013557519,15599.652702475876,"[30.1932447, -22.9015998, 7.0]",0
113,Mediclinic,81.015878285286,12920.805821222246,"[29.4645938, -23.9043782, 7.0]",0
114,Mutale Health Center,74.77121430500004,12521.8661822613,"[30.5213928, -22.73625059999999, 7.0]",0
115,Botlokwa Hospital,84.90665278181021,11723.697957250577,"[29.7427905, -23.4924887, 7.0]",0
116,Tzaneen Medi-Clinic,107.04137656285783,12414.873704924572,"[30.1527959, -23.8226407, 7.0]",0
117,Mopani Medical Centre,69.02613253120998,12790.10800907227,"[30.1615068, -23.8298451, 7.0]",0
118,Hanyani Medical Centre Nkwinika TI,56.141185238165605,13035.016525912584,"[30.291036, -23.886778, 7.0]",0
119,Mokwakwaila Medical Centre,81.67132194029614,16244.727725164033,"[30.4249667, -23.5270932, 7.0]",0
120,Letaba Hospital,69.62807837917967,15760.26815151703,"[30.267554, -23.8735483, 7.0]",0
121,Evuxakeni Hospital,101.281850173874,13539.890635644035,"[30.7288359, -23.3187641, 7.0]",0
122,Jj BRITZ ORT/PROT,55.1136840333195,12168.333200451267,"[30.15648770000001, -23.82054089999999, 7.0]",0
123,Cheapside medical centre,76.08871527698018,11486.255541898847,"[30.6910409, -23.000528, 7.0]",0
124,Safari-Med Medical Practice,48.48047168904567,13397.832702608626,"[30.9578102, -24.3503661, 7.0]",0
125,Themeli Medical Centre,82.63404574558552,13634.730964267572,"[30.3967995, -23.4289927, 7.0]",0
126,Peacemed Medical Centre,100.96109514262753,12839.739111320967,"[30.1591, -23.83055, 7.0]",0
127,Nkhensani Hospital,74.06914231407617,14302.689907041837,"[30.7108651, -23.3181637, 7.0]",0
128,DR C N Phatudi Hospital,50.51024117467378,13547.513920992276,"[30.280849, -24.0265804, 7.0]",0
129,Dr MBOMBI,50.10477750517151,11704.700601176024,"[30.68768579999999, -23.3088256, 7.0]",0
130,Kgapane Hospital,51.643006763513014,13557.288192772,"[30.21710169999999, -23.6493398, 7.0]",0
131,Maphutha Malatji Hospital Pharmacy,60.87917888085832,14164.619402185965,"[31.0386515, -23.9260467, 7.0]",0
132,Spec-Savers Phalaborwa,107.72257285434623,12293.517388586668,"[31.135333, -23.950333, 7.0]",0
133,Giyani Community Healthcare Centre,71.83940466317398,12384.430232270135,"[30.6914181, -23.3095572, 7.0]",0
134,Tzaneen Police Station,71.845648128819,13647.812713885141,"[30.1621082, -23.828211, 7.0]",0
135,SAPS,53.03723497111527,12223.180473099508,"[30.1504366, -23.4123785, 7.0]",0
136,Maake Police Station (SAPS Lenyenye),87.82591484898995,13157.32302614538,"[30.27056349999999, -23.9733324, 7.0]",0
137,South African Police Service,69.36261184959955,13998.810500695798,"[30.22177, -23.64368, 7.0]",0
138,South African Police Service,56.344395158809135,10313.236608028752,"[31.0485007, -24.5970739, 7.0]",0
139,South African Police Service,115.71190820853386,13618.77910684065,"[30.61423659999999, -22.7274129, 7.0]",0
140,Hoedspruit Police Station,93.99940799860701,14287.072543166838,"[30.9512792, -24.3535422, 7.0]",0
141,SAPS - Mutale,70.93327347211228,12089.173719928698,"[30.5231366, -22.7352494, 7.0]",0
142,Malamulele SAPS,62.90861485877715,13651.294713816736,"[30.68651499999999, -23.0044975, 7.0]",0
143,Mankweng Police Station,39.072668137598626,13548.29115525811,"[29.7268045, -23.88492429999999, 7.0]",0
144,Vuwani Police Station,80.66752423220431,13066.913674544958,"[30.4209783, -23.129688, 7.0]",0
145,South African Police Services,108.53371276371287,13859.016052604364,"[30.3300796, -24.6791144, 7.0]",0
146,Tshaulu Police Station,89.92245998790753,14810.580302265875,"[30.7477713, -22.8033429, 7.0]",0
147,SAPS Supply Chain Management,103.39658726622125,12727.727229033493,"[29.451789, -23.9004029, 7.0]",0
148,South African Police Service,52.44954650608206,13464.445271142988,"[29.4547628, -23.9130703, 7.0]",0
149,SAPS,97.12387453421677,14275.895269643215,"[29.7416585, -23.0970676, 7.0]",0
150,SAPS Seshego,85.26285944784735,12509.523053771303,"[29.3828394, -23.85393149999999, 7.0]",0
151,Greater Tzaneen Municipality,95.43901124915303,11373.435591356392,"[30.1584977, -23.8294599, 7.0]",0
152,SAPS,97.96289785613304,12702.4060299645,"[30.2226082, -23.6442096, 7.0]",0
153,Maake Police Station (SAPS Lenyenye),72.60892963465903,16075.497749926448,"[30.27056349999999, -23.9733324, 7.0]",0
154,Tzaneen Police Station,106.66667792976818,12493.906915148164,"[30.1621082, -23.828211, 7.0]",0
155,SAPS,77.88164604261955,13000.951478548197,"[30.1504366, -23.4123785, 7.0]",0
156,Giyani SAPS,114.78756141025507,14878.415701896882,"[30.71595889999999, -23.3132697, 7.0]",0
157,South African Police Service,55.86207476474085,13611.690117577764,"[31.0485007, -24.5970739, 7.0]",0
158,Malamulele SAPS,102.91149944790456,15139.997071094966,"[30.68651499999999, -23.0044975, 7.0]",0
159,Saps - Haenertsburg,107.44692509518717,13568.29323094994,"[29.939676, -23.9404964, 7.0]",0
160,Saps - Namakgale,86.76546642893197,12319.437955857145,"[31.0279023, -23.9327276, 7.0]",0
161,SAPS - Mutale,128.44481275732804,13260.266562284134,"[30.5231366, -22.7352494, 7.0]",0
162,saps levubu,69.14446944886086,13728.938599770827,"[30.2552575, -23.0800993, 10.0]",-1
163,Saps - Phalaborwa,55.752183850426064,11147.72629307555,"[31.136705, -23.95227719999999, 7.0]",0
164,Magisterial Court - Greater Tzaneen Rural,87.64941984464215,12232.93860100675,"[30.29606, -23.8531999, 7.0]",0
165,Magisterial Court - Greater Giyani Rural,57.05819475592497,13357.046299408401,"[30.67948, -23.41904, 7.0]",0
166,Lenyenye Magistrate Court (Previously Naphuno),91.5725652292902,11426.202585447054,"[30.2702552, -23.9733451, 7.0]",0
167,Magistrate Court - Giyani,66.11528054289144,15154.702294884044,"[30.694588, -23.31219859999999, 7.0]",0
168,Magistrate Court Tzaneen,106.42919016793468,15716.82736094576,"[30.1610758, -23.8272556, 7.0]",0
169,Magisterial Court - Tzaneen,56.027345245090025,14710.15384228989,"[30.15722, -23.86025, 7.0]",0
170,Magisterial Court - Phalaborwa,72.1303893131402,14810.089790521102,"[31.13807, -23.9499299, 7.0]",0
171,Magisterial Court - Duiwelskloof,96.90044056727315,13756.631738682036,"[30.19142, -23.6585, 7.0]",0
172,Nkowankowa Court,80.22302512491984,13437.59467005715,"[30.2836683, -23.8876216, 7.0]",0
173,Magisterial Court - NP343 Rural,98.04155556554433,12181.101797202704,"[30.7861, -22.9726599, 7.0]",0
174,Limpopo Division of the High Court,113.06469344145975,13923.389686928032,"[29.4576395, -23.9131463, 7.0]",0
175,Mankweng Magistrate Office,82.42802595786716,13651.239518673234,"[29.7018948, -23.8818186, 10.0]",-1
176,Magisterial Court - Bushbuckridge Rural,106.50518116490132,14633.015589506362,"[31.19992, -24.74596, 7.0]",0
177,Magisterial Court - Mutale Rural,93.60550894109457,12515.901512070961,"[30.6414099, -22.5963, 7.0]",0
178,Moshate Mothapo,103.16527387274424,13543.66226134943,"[29.7024393, -23.9581758, 7.0]",0
179,Correctional Services,90.60472289643594,12700.856984247856,"[30.1426069, -23.826459, 7.0]",0
180,Correctional Services,83.72394914976346,12675.110820189486,"[29.90520380000001, -23.0365832, 7.0]",0
181,Polokwane Correctional Services Clinic,59.651734697254525,12169.640723211827,"[29.454944, -23.92143799999999, 7.0]",0
182,Correctional Services,100.81829364778717,12517.007059241541,"[29.452595, -23.909181, 7.0]",0
183,Matatshe Prison,127.33610314895353,12221.035540441975,"[30.5312024, -22.8944172, 7.0]",0
184,Correctional Services,54.13559488766688,13984.646748316653,"[30.4428064, -22.9717943, 7.0]",0
185,Tzaneen Traffic Department,65.77795892416877,14066.458264247583,"[30.165699, -23.8581682, 7.0]",0
186,Giyani Traffic Testing Station,41.04654707871081,14209.509807710061,"[30.7151053, -23.3166603, 7.0]",0
187,Greater Tzaneen Municipality,69.55926518323588,15088.971189070893,"[30.1584977, -23.8294599, 7.0]",0
188,Hoedspruit Police Station,72.13476629845471,13093.984203055286,"[30.9512792, -24.3535422, 7.0]",0
189,Department of Home Affairs Office - Phalaborwa,70.14144246317214,12112.500471072222,"[31.1291056, -23.9547722, 7.0]",0
190,Mopani District Office,120.66661697121194,14058.647654486977,"[30.7102542, -23.31309329999999, 7.0]",0
191,Malamulele Traffic Department,83.93809837613952,12985.182558099941,"[30.6870447, -23.003459, 7.0]",0
192,Vuwani Department of Traffic Testing Station,98.80593981719169,13770.854696687926,"[30.4183084, -23.1302527, 7.0]",0
193,Thohoyandou Traffic Department,117.400823726593,13028.866748364757,"[30.4952564, -22.9711022, 7.0]",0
194,Sibasa Traffic Department,46.26385625757987,14124.832325288164,"[30.4724097, -22.9440304, 7.0]",0
195,Department of Home Affairs Office - Tzaneen,62.18145281764827,13293.917303245647,"[30.1617866, -23.8257768, 7.0]",0
196,Mankoeng High School,76.05713121658704,14331.89905342638,"[29.82058, -23.87782, 7.0]",0
197,Marobathotha High School,92.12997238397746,13065.495145772302,"[29.7953976, -23.9333346, 7.0]",0
198,Makgoka High School,91.40121048646239,14090.687009852809,"[29.7908, -23.94715, 7.0]",0
199,Doasho High School,54.97370167450824,13037.17161411631,"[29.80405, -23.95402, 10.0]",-1
200,Mokwatedi Secondary School,89.92970187028936,12775.115279286503,"[29.79585, -23.97447, 7.0]",0
201,Makgopele High School,70.81847607455197,14125.146486188258,"[30.5604126, -23.4290564, 7.0]",0
202,Phangasasa Senior Secondary School,69.78238308391869,12972.57276853232,"[30.33357, -23.9869999, 7.0]",0
203,Risinga High School,113.72337411193425,13420.330848929503,"[30.71922169999999, -23.3056275, 10.0]",-1
204,Daktari Bush School & Wildlife Orphanage,102.73851862326887,12136.78069724517,"[30.670716, -24.218279, 7.0]",0
205,Southern Cross Schools.,79.04947974376442,13683.490732751578,"[30.94752609999999, -24.3602282, 7.0]",0
206,Craighead Primary School,82.73296161821652,13102.452418329302,"[30.16462, -23.97422, 7.0]",0
207,Ramotshinyadi Secondary School,126.41598306494717,12774.482638689657,"[30.5949809, -23.621708, 7.0]",0
208,Educare Primary School,72.30108401277725,12646.614297022003,"[29.995, -23.87283, 7.0]",0
209,Mohlaba Primary School,121.45671493816857,14497.656051827882,"[30.2831316, -23.9337257, 7.0]",0
210,Nwamavimbi Secondary School,39.62504286177384,13690.241625336954,"[30.3567738, -23.379809, 10.0]",-1
211,Nwajaheni Primary School,104.77449443669295,13798.967837810338,"[30.41232, -23.74937, 7.0]",0
212,Mhangweni Primary School,82.72753045767334,14115.558904738991,"[30.319, -23.97317, 7.0]",0
213,Khutjwana Primary School,84.600954847857,13057.45543216912,"[30.22408, -23.9256, 7.0]",0
214,Haenertburg Primary School,94.18291954483118,12425.59295217526,"[29.94429, -23.94659, 7.0]",0
215,Mushiyani Primary School,110.45868901836607,13275.74609279566,"[30.90377, -23.6161499, 7.0]",0
216,Matiyani Primary School,91.71199037052946,13799.931669708885,"[30.97875, -22.74345, 7.0]",0
217,Kolobetona Secondary School,74.66107703484724,13489.871192468267,"[30.20802, -23.4233999, 7.0]",0
218,Taulome Primary School,84.50082121027155,14536.928070413778,"[30.56518, -23.51933, 7.0]",0
219,Nakampe Primary School,102.37272525384435,13817.24233233307,"[30.46003000000001, -23.3915, 10.0]",-1
220,Malubana Primary School,64.90141562807565,13341.837107073658,"[30.49133, -23.7249999, 7.0]",0
221,Vallambrosa Primary School,51.175758639525974,14325.2077058306,"[30.58392, -23.6119999, 7.0]",0
222,Makahlule Primary School,90.62167166834737,12724.013679545116,"[30.90011999999999, -22.8908999, 7.0]",0
223,Yingisani Primary School,49.33965233902512,14858.10719433044,"[30.2604849, -23.8721392, 7.0]",0
224,Tanani Primary School,90.43926367657946,12139.083738741452,"[30.77038, -23.30718, 7.0]",0
225,Senopelwa Primary School,81.70697686433334,12968.988187943789,"[30.36668000000001, -23.5608699, 7.0]",0
226,Mabunda Primary School,71.00371649700057,13702.490073409082,"[31.04502, -23.56157, 7.0]",0
227,Mamokgadi Primary School,62.73230217940397,13365.923879045533,"[30.45447, -23.4258299, 7.0]",0
228,Platland Primary School,69.830648302541,12635.20763700784,"[30.18843, -23.61002, 7.0]",0
229,Mlunghisi Primary School,62.714986017137946,13865.797480607644,"[30.41635, -23.9438299, 7.0]",0
230,Phatima Primary School,60.04800284853111,13827.274274433106,"[30.89868, -23.1164199, 7.0]",0
231,Kingfisher Private School,80.12709259184172,14042.938898232831,"[31.14245, -23.951738, 7.0]",0
232,Gumbu Junior Secondary School,106.34669282136474,14534.337354917847,"[30.7935299, -22.3596699, 7.0]",0
233,Kheodi High School,98.59520322651707,11757.842995562089,"[30.39833, -23.42735, 7.0]",0
234,Northampton Primary School,83.48978219063237,12769.64379007875,"[30.52812, -23.46632, 7.0]",0
235,Bolotswi Secondary School,99.2105647436018,13018.817040490942,"[30.47197, -23.4919799, 7.0]",0
236,Nyumbani High School,71.52446509678218,14565.681457428374,"[30.69352, -23.40173, 7.0]",0
237,Mokoto High School,82.91582602295185,14036.767354794398,"[30.61417, -23.5168699, 7.0]",0
238,Mtititi Secondary School,76.10510349148409,13044.35468537665,"[30.88583, -23.1058299, 7.0]",0
239,Nkomo Primary School,100.25453059724902,12206.78393430544,"[30.78392999999999, -23.40372, 7.0]",0
240,Jack Mashamba Primary School,86.79624648613607,13349.254339754927,"[30.39712, -23.94682, 7.0]",0
241,Seagotle Secondary School,47.82885922969607,13026.35238350569,"[30.41849999999999, -24.2240499, 7.0]",0
242,Leseding Primary School,81.81409851285804,13846.914108460032,"[30.68189, -23.9060199, 7.0]",0
243,Hasani Mninginisi Secondary School,60.52587948371485,15185.866123140406,"[30.801001, -23.1599952, 7.0]",0
244,Gwambeni High School,73.49963971162582,13488.278299933283,"[30.48548000000001, -23.6534999, 7.0]",0
245,Tshikundamalema Secondary School,81.31672115727727,13944.579707258672,"[30.79457, -22.4167299, 10.0]",-1
246,Sefolwe Primary School,69.3620891319595,14130.085055887414,"[30.31057, -23.6500199, 7.0]",0
247,Serurubele Secondary School,124.90734598198807,13135.010193085065,"[30.22, -23.94865, 7.0]",0
248,Rama Secondary School,59.7472155501704,13990.189230866115,"[30.5213, -23.49438, 7.0]",0
249,Mamosala Senior Secondary School,111.6016115956464,14489.3977940722,"[30.4735, -24.10867, 7.0]",0
250,Ramaolwane Secondary School,81.83005080355387,14316.138723279737,"[30.40665, -23.49598, 7.0]",0
251,Tsaneng Combine Junior Secondary School,80.01374141422014,10963.140726343538,"[30.11735, -23.7425, 7.0]",0
252,Lephepane Primary School,41.88104446089272,13206.916675907674,"[30.18333, -23.98633, 7.0]",0
253,Hetiseka Junior Secondary School,121.27124065550379,13417.65701913554,"[30.43366999999999, -23.7084999, 7.0]",0
254,Manghezi Secondary School,91.07521096531067,12688.699912492784,"[30.96281999999999, -23.5213699, 7.0]",0
255,Makgoka Secondary School,77.62594622342944,11398.613526956056,"[29.7946908, -23.9226426, 7.0]",0
256,Mopani SE TVET College - Phalaborwa Campus,113.62271535333925,12655.020106693131,"[31.14144549999999, -23.9420969, 7.0]",0
257,Sir Val Duncan Technical College nomthandazo,73.63749287759127,14194.63518315975,"[31.02818939999999, -23.9373676, 7.0]",0
258,Letaba FET College Giyani Campus,105.27314664692508,11800.581068322903,"[30.7153534, -23.3162563, 7.0]",0
259,Stanford Business College,79.99078498261439,13660.10527061851,"[30.15812, -23.82276, 7.0]",0
260,Boston City Campus & Business College - Tzaneen,98.96359798709025,14303.97662205769,"[30.1623255, -23.833123, 7.0]",0
261,Giyani Education Multipurpose Centre(GEMPC),100.52554860743848,13445.449123367565,"[30.7257299, -23.2978079, 7.0]",0
262,Leading Edge Flight School,98.23099973020909,13638.932772459137,"[30.950216, -24.352078, 7.0]",0
263,Phalaborwa College,123.06319379171731,13643.661671158477,"[31.1361081, -23.9418224, 7.0]",0
264,Giyani Campus Of Nursing College,82.36512156735371,12744.949087175819,"[30.7062535, -23.3072476, 7.0]",0
265,Mopani SE TVET College - Corporate Office,62.22036404614325,15037.767804296614,"[31.1404314, -23.9419008, 7.0]",0
